gameId,date,teamId,teamAbbrev,teamName,homeAway,playerId,playerName,playerFirstName,playerLastName,playerSlug,sweaterNumber,positionCode,goals,assists,points,shotsOnGoal,hits,pim,plusMinus,timeOnIce,saves,shotsAgainst,goalsAgainst,savePct,faceoffWins
2024020001,2024-10-04,1,NJD,Devils,away,8482110,D. Mercer,Dawson,Mercer,dawson-mercer-8482110,91,C,0.0,1.0,1.0,0.0,0.0,0,1.0,17:17,,,,,
2024020001,2024-10-04,1,NJD,Devils,away,8475455,B. Dillon,Brenden,Dillon,brenden-dillon-8475455,5,D,0.0,0.0,0.0,1.0,3.0,0,1.0,22:59,,,,,
2024020001,2024-10-04,1,NJD,Devils,away,8476462,D. Hamilton,Dougie,Hamilton,dougie-hamilton-8476462,7,D,0.0,0.0,0.0,4.0,1.0,0,1.0,21:59,,,,,
2024020001,2024-10-04,1,NJD,Devils,away,8480192,J. Kovacevic,Johnathan,Kovacevic,johnathan-kovacevic-8480192,8,D,1.0,1.0,2.0,1.0,0.0,0,2.0,20:29,,,,,
2024020001,2024-10-04,1,NJD,Devils,away,8483495,S. Nemec,Simon,Nemec,simon-nemec-8483495,17,D,0.0,0.0,0.0,1.0,1.0,2,0.0,17:13,,,,,
2024020001,2024-10-04,1,NJD,Devils,away,8483429,S. Casey,Seamus,Casey,seamus-casey-8483429,24,D,0.0,0.0,0.0,0.0,2.0,0,0.0,13:14,,,,,
2024020001,2024-10-04,1,NJD,Devils,away,8478399,J. Siegenthaler,Jonas,Siegenthaler,jonas-siegenthaler-8478399,71,D,0.0,1.0,1.0,1.0,3.0,0,2.0,21:00,,,,,
2024020001,2024-10-04,1,NJD,Devils,away,8474593,J. Markstrom,Jacob,Markstrom,jacob-markstrom-8474593,25,G,,,,,,0,,59:38,30.0,31.0,1.0,,
2024020001,2024-10-04,1,NJD,Devils,away,8474596,J. Allen,Jake,Allen,jake-allen-8474596,34,G,,,,,,0,,00:00,0.0,0.0,0.0,,
2024020002,2024-10-05,1,NJD,Devils,home,8476474,S. Noesen,Stefan,Noesen,stefan-noesen-8476474,11,R,0.0,1.0,1.0,2.0,3.0,0,1.0,11:48,,,,,
2024020002,2024-10-05,1,NJD,Devils,home,8480002,N. Hischier,Nico,Hischier,nico-hischier-8480002,13,C,0.0,0.0,0.0,1.0,1.0,0,0.0,20:44,,,,,
